dimension,ws_t_stat,ws_p_value,ws_paired_cohens_d
2,0.8000107654863573,0.43706957184839323,0.20656189143435394
3,-2.018409358886446,0.0631302594487447,-0.5211510555197596
5,-3.114214995800468,0.007614313759217389,-0.8040868543496408
8,-4.495199839577361,0.0005038000207474276,-1.1606556077704913
15,-7.407946106064496,3.3122038640868635e-06,-1.9127234598926584
30,-11.94708691609789,9.899036060885706e-09,-3.08472457744931
