mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds,mode_distance
"(0, 8)",HMC,0.15202580098770732,1.1668367939997755,16.55676066615425,"[913133, 908763, 99791, 345150]",8
"(0, 10)",HMC,2.5003980723670676,1.5278874695222202,7.057903673033985,"[913133, 908763, 99791, 345150]",10
"(0, 15)",HMC,3.686621961685193,1.5279425297941986,7.065542768349576,"[913133, 908763, 99791, 345150]",15
"(0, 20)",HMC,4.977593014379522,1.5278429075455424,7.06549185077578,"[913133, 908763, 99791, 345150]",20
