mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds,mode_distance
"(0, 8)",DEMetro,0.2624445060740728,1.0025022017878154,317.25110684622126,"[913133, 908763, 99791, 345150]",8
"(0, 10)",DEMetro,4.711795028963671,1.0068154244202663,644.4857898637332,"[913133, 908763, 99791, 345150]",10
"(0, 15)",DEMetro,7.563641524891447,1.0028658511333643,1588.7745839487225,"[913133, 908763, 99791, 345150]",15
"(0, 20)",DEMetro,0.33792466181636105,1.0308177625696584,173.5454610072851,"[913133, 908763, 99791, 345150]",20
