a,global_avg_wasserstein_distance,global_avg_mmd_rff,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_mmd_rff_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std,ws_dist_glass_delta,mmd_rff_glass_delta
1,0.2319338028308971,0.024448772502638265,3.9451829828897003,1.0126388153267658,732.3135754722496,2.1163395285606383,0.06560936797313305,0.007934791013282677,2.316223553644062,0.006152349212615045,143.47512737460687,0.13668988569677645,3.9451829828897007,2.2775747653106735
2,0.19408680179779034,0.024307136852772377,1.9405290208661827,1.0106233369815192,699.7358398166572,2.214978647232056,0.0437464014294602,0.007450596722884221,1.0511847307710136,0.0042919766780908876,139.45461232300465,0.19024229550286037,1.9405290208661823,3.156867470281251
3,0.27782164630481426,0.02423368341066052,0.7814338032129247,1.0145929132188387,572.0680497403341,2.206671929359436,0.10830811303017816,0.009248882748486006,0.9222805240608263,0.006840350502946094,107.7641796704558,0.18918842861361962,0.7814338032129247,2.4492692787617405
5,0.5946615751287437,0.026621114870129046,3.134980685191011,1.015645130073461,497.26358446313577,2.2316914319992067,0.27355040908324835,0.010022061420861454,2.203335495183118,0.006703586143327224,163.46583389703733,0.1888868292590137,3.134980685191011,2.3304159650625302
