dimension,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
2,0.016888910049690762,0.02862163062618473,0.026024188093719838,1.8182218074798584,,,,0.012556349286035318,0.009297428921802521,0.01984057136349388,0.023641028742460383,1.747143268585205,,,,0.009763602976663973,0.022290901560133955,0.03887958550475961,0.03483217145236857,1.9473037719726562,,,,0.01871874670436891,0.02968382745850539,0.030462614816118522,0.004821722748913012,0.02002459452817751,0.02228820751312202,0.009619845555761265,0.02952223731077567,0.030634338633378916,0.01611741662109454,0.014096899674317593,0.014742140642173534,0.0036917442108231635,-0.1615164119066571,-0.30924783712418974,0.7594965259755334,-0.06899997367740214,-0.22735890989339957,0.821372420529795,-0.2353065828160671,-0.5968082426536643,0.5546227737925447,-0.17477943514187003,-0.37824670225911067,0.7079441792380493
5,0.020274704719592522,0.027325773036207902,0.027421620325922463,3.0451533794403076,,,,0.012662617277677798,0.015707167271092844,0.02402037988083688,0.024237221210809783,2.927523612976074,,,,0.010798084315469103,0.023192056629602126,0.03107494879347199,0.02967434038969486,3.4499824047088623,,,,0.015174802154869108,0.027687556493863636,0.028221465678220932,0.004383661504702641,0.019879660613161217,0.021427402002232497,0.00678644263587555,0.027616089613897676,0.030865176748959233,0.00855006070624092,0.012830974101700856,0.01363441189542169,0.0033633502728330628,-0.12179525809292904,-0.4235906480710213,0.6743569155146565,-0.3800074931269155,-1.3020900043885089,0.20095903112401375,-0.22806372529981597,-0.8163641785945622,0.419780450468067,-0.23888020234183693,-0.8454351968913815,0.40349546384261314
10,0.019684266781853026,0.028535912917446244,0.027592755677582844,4.3501296043396,,,,0.013437471174824498,0.014758918976679998,0.023860469495045146,0.025172813601574643,4.272283136844635,,,,0.01106593087599985,0.022788065737862902,0.03270963332411387,0.029235377734763104,4.613285303115845,,,,0.014468623497600983,0.027458026522267705,0.027825787735555337,0.002930427117973172,0.019497708896395845,0.02041743890574014,0.004332930456088393,0.029434991016406585,0.03064909669750477,0.005663255567446347,0.013172630137644845,0.013373911966525723,0.002032433923901714,-0.12549747817717222,-0.39695803847327354,0.6936191780997378,-0.21438299342822076,-0.6565008226811132,0.5154733674834968,-0.21226512141498596,-0.6048699676101328,0.548987020253729,-0.09903486972627994,-0.273936483454303,0.7856985732682773
15,0.022547482685066123,0.033208184384781354,0.028297326625595837,5.792299270629883,,,,0.013935643816957777,0.01877947864671623,0.03024326642291959,0.02670092821046742,5.737463593482971,,,,0.011909830262576804,0.024892276752662243,0.03611163504191883,0.029736833146174098,6.106895625591278,,,,0.01507676727309274,0.02849055049074481,0.02860028330060112,0.0016212965639201453,0.021859080883594312,0.022011223539604923,0.002886149514719468,0.0334741339481385,0.029750385876492168,0.006448074272322725,0.013826722987642325,0.01391008016514246,0.0014042276564667695,-0.0676821331138752,-0.1398819280401331,0.8897333739641323,0.5774977015432183,2.0509945802139766,0.047689421056492605,-0.05271475203716171,-0.11475645363057617,0.9094088765028873,-0.059361583655084434,-0.12511957134379365,0.9012912387286227
30,0.02238825266272122,0.031628069533753266,0.028754829351364815,12.153623104095459,,,,0.014065748299912261,0.020459690599684603,0.026976974270207423,0.02778590396897914,12.03736788034439,,,,0.01303774978615539,0.024572769248169406,0.0335374220040692,0.029985655451908313,12.503416240215302,,,,0.015315772846894567,0.028835985346551886,0.028443715371212864,0.001407204168711671,0.02230801240014068,0.02188728741180023,0.0020273226174584756,0.030652861334048757,0.03142396397295707,0.0036701486757853606,0.014155252718732404,0.01401092720138421,0.0010339500769751795,0.27875839488036375,0.7846281979395069,0.4377445961836177,-0.2101011994407299,-0.5567991682698545,0.5812172560016617,0.20752739831210704,0.5070332484682186,0.6155350108062875,0.1395865434532555,0.3648478409567162,0.7174499045824866
