dimension_corr,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_dist_glass_delta,mmd_rff_glass_delta
2,0.050772137610707625,0.024077486834213603,1.003377111726203,1006.3282280422352,4.262643098831177,0.03598379238903167,0.021156990308004962,1.002360492515867,963.3521550453557,4.149684488773346,0.059445801606488526,0.029546274416734124,1.0047650044431344,1022.0155825151395,4.400953769683838,5.142621845222582,3.1397045515864233
5,0.027677745636849334,0.02231487332150218,1.0070864321064887,625.6530991005327,4.620397448539734,0.025038117918687652,0.019738701646056976,1.0063634659539324,600.7394942075448,4.4913493394851685,0.03889265029138018,0.03209400761341491,1.0084786441971518,695.4934249921993,5.847475945949554,1.137268790384591,1.877794905630131
10,0.03925194752980443,0.02561836362664822,1.0142590989630142,337.7504833084728,5.254815936088562,0.03062014485367839,0.022418860753122875,1.0118163221597536,314.74414587722254,4.87367057800293,0.05333331441488846,0.029309329119683095,1.0187702644464351,343.8410165978736,5.6135780811309814,3.49505825991148,3.4594945283425123
15,0.05751698030938365,0.03046532735852224,1.0112254028280048,257.30594966515133,5.302792191505432,0.04346079784259348,0.027375005772220413,1.0069000586499848,224.67933160195895,5.087148666381836,0.07278114870248548,0.033511230906032086,1.0143752526178773,313.26747977578043,5.622855186462402,5.703532711917812,6.203993027160302
20,0.06430309884399016,0.028172741401769796,1.025061281610248,200.77428724892332,4.910418391227722,0.0414624036826791,0.027436497900210386,1.0195975508089457,156.0038028172112,4.467012405395508,0.084304940018396,0.028695985779475776,1.0325165878197575,208.78293213960595,4.986288964748383,9.669361842197562,4.8536568525850114
