mu,global_avg_wasserstein_distance,global_avg_mmd_rff,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_mmd_rff_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std,ws_dist_glass_delta,mmd_rff_glass_delta
"(3, 3, 3)",0.14411557142315112,0.06023123049733985,12.884001480042532,1.0289765501501533,249.05355506264354,3.4866259694099426,0.06947516632001245,0.015483683403285363,8.19856445819395,0.010455395080426465,60.58311692947311,0.18761500527243427,12.884001480042526,22.161526387912968
"(6, 6, 6)",0.8005000902793651,0.11817993311323297,24.869356762392655,1.0365041690213634,191.71099307077802,3.4908191919326783,0.41706535522137356,0.03917247041840323,13.994711944742837,0.019209226613437193,65.0798935016635,0.20780282623431917,24.869356762392655,38.24829520891293
"(10, 10, 10)",2.7845964197067476,0.19228005215425104,65.01399976919092,1.024787478222767,351.23960257977984,3.599114775657654,1.1839162341493914,0.0656307388228952,28.47016688830328,0.018312450768068478,116.39504656763393,0.20804091991484397,65.01399976919092,76.53803422432173
"(20, 20, 20)",6.625225496937796,0.22478857143356207,65.00948214009657,1.0195077232620484,385.40241554442184,3.6405417203903196,3.258977973895055,0.10729005323924436,32.70498017671634,0.006727682398869066,91.67057682668889,0.2626975662076331,65.00948214009655,93.77663278249257
