mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
"(10, -10)",4.3274999190624355,1.3342610061682385,57.37930732478837,20.510425448417664,1.3653124510854637,0.1585189109288859,24.771414088877556,0.14829872168359468
"(20, 20)",9.178625942426095,1.003839115757289,5234.170505066997,20.536117053031923,1.9195814876681183,0.0005882281068560149,287.0117790417116,0.2713383369943315
"(5, 5)",3.4597836429611477,1.043506448476213,427.6961399953044,20.539841961860656,0.7484281792073633,0.009554072034939857,119.77065153801652,0.14174829065895087
"(50, -50)",19.906011423808252,1.119287805865635,2469.3693314641214,20.383632159233095,4.298129487395442,0.09001509548535562,3844.537518649214,0.09429338382011125
