dimension,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
15,1.6800889271989359,3584.0115796189775,45.59172024140237,5.966760158538818,,,,,0.43238169825490397,1.6631753455479579,3468.1986236111547,45.021679496672206,4.489209890365601,,,,,0.42717612764735063,1.7992361637143162,3812.932864939233,47.30953888510022,7.776439905166626,,,,,0.43740021350167285,46.22326529812303,0.12701720159547877,0.02913255051246898,1.6919231847150797,0.07516986596499059,0.038925286486021116,3656.564285292299,16.97611325471086,26.662097506033636,0.4321003724936715,0.014038181566756434,0.0011957402263145784,1582.293595502322,64.35653792595582,3.4636828276293773e-07,136.50794620393046,31.717558280578466,4.7883732201002375e-06,41.534782777532,18.895934864452375,2.4485513176922794e-05,349.62626641359657,62.192022162569565,3.428557979867461e-07
18,0.9193188157865875,1963.7597282299373,33.81939664999806,6.235767602920532,,,,,0.419301987460941,0.8855101682160632,1958.6809263670505,33.69192370505214,4.907570838928223,,,,,0.4147604699800977,1.191179029034603,2028.9062422000077,34.34103084243773,8.919338703155518,,,,,0.4253891065281593,34.153442859481196,0.12052450835030322,0.01264968622470536,0.9966915162649913,0.06221593144400143,0.008670109447533443,2008.313451677029,6.5043182589631074,4.126995657652235,0.4201098714504886,0.014484500507428527,0.0024981713411729115,2690.416010846435,106.45934565992881,4.626572858141506e-08,485.05239633735283,53.232578898545825,7.049613659556488e-07,107.78129047573195,9.741324022278127,0.000612045095854292,162.36891531731993,126.46654567699301,4.3252324981025637e-10
30,2.599699741081587,4531.120470865792,51.63786983203137,9.063043594360352,,,,,0.40806076912987965,2.469346202713792,4516.674688468131,51.578537156788606,7.718554496765137,,,,,0.4051079173149009,2.9656328601176267,4656.117289475861,52.145139678582815,11.896440505981445,,,,,0.4101506991028402,51.793969784000254,0.12357984641201558,0.01506855905245435,2.772275932965818,0.06119777033130306,0.008524156277696439,4586.295624507755,7.100666803492322,2.488370187331904,0.40926867225322977,0.014672171621094932,0.0013004251144715859,3429.0199718314952,230.08719120372322,2.074390791125814e-09,1840.2386353190461,101.31309801638925,5.594450144842827e-08,318.0465109172253,14.944681629588816,0.0001161018741144582,303.43654258974766,129.89967918792536,6.7144578373873164e-09
