nu,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2.1,-28.730482178417184,7.402675670537831e-23,-5.245444392373085
3.0,-23.164807561479375,2.957775062814562e-20,-4.229295880562831
4.0,-29.102003215333678,5.162018268329791e-23,-5.31327454320871
10.0,-39.436825216033654,9.506560811166785e-27,-7.200146255736726
50.0,-24.926902680398303,3.893897001258174e-21,-4.55100896226338
