nu,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2.1,-31.43176016819192,5.9123787648982374e-24,-5.738628022070363
3.0,-65.65192651670496,4.272934252644653e-33,-11.986347032290292
4.0,-108.20201045603767,2.3113605313019695e-39,-19.754893964727227
10.0,-60.11038627468572,5.413974213709816e-32,-10.974604834331434
50.0,-38.10059282600144,2.5363119602957137e-26,-6.956184715040164
