dimension,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
2,0.031549516162684886,0.03919587753318424,0.03543445796005458,2.068209171295166,767.6031684784036,373.83174594933917,1.0045268759458037,,0.01832250508420095,0.024168891416332328,0.01816476542288313,0.03056650675663286,2.047220826148987,710.6114837482559,340.53073666144417,1.0033104887025548,,0.014936187529218242,0.047914295775968896,0.07225357723830642,0.052423961372516384,2.0785524249076843,844.2788278992571,398.1283822819971,1.006403737476484,,0.02636860127530977,0.0409023600343073,0.027445760516346573,0.00802004150207142,0.03654766948662325,0.021745554653460782,0.01200578413706092,0.04508189824169871,0.019074110679380658,0.01107403552836735,0.020266484467076896,0.014203413620275156,0.004891011067595775,1.6778715564607927,4.792852075763568,1.6253087293812795e-05,2.3485374862394357,4.501127305045784,6.527635865420901e-05,1.2329152901782974,3.530284790916193,0.0009259206173000747,1.239635478842231,3.937200368540048,0.0002446376880156613
3,0.028271461351000487,0.04302449190968382,0.04041770738032423,2.1565414667129517,778.2482650957322,361.57821159945786,1.0062085538647136,,0.023584610765711236,0.01583302926469219,0.020791242901437152,0.033450780746610904,2.133321166038513,732.5475331017622,334.89969793813856,1.0038748641444508,,0.018945575698757065,0.054127559571285136,0.08194231798976066,0.055007833925166935,2.1638476252555847,834.089656324179,391.03730073402306,1.008128217485985,,0.03206685397872221,0.044224093943311525,0.027527617270879764,0.010851836370384126,0.03590724148239273,0.01908908510906308,0.015526072068759559,0.05447335674425443,0.030277831885288247,0.019004754769126914,0.025678241506382805,0.014794776561230986,0.007388243254490574,1.538585369569183,4.638332237371155,2.5418488598633588e-05,1.2731300747048648,2.9780325082951253,0.004836931895032547,1.083220295439046,3.488658810171498,0.0009857569969762175,1.4730788592453083,4.749656143914059,1.5918042045176598e-05
5,0.02885627275133011,0.05423397473202108,0.0406763953001012,2.22799015045166,485.1231897053575,215.73898791284128,1.008178832441153,,0.022691609190155657,0.019631140285578788,0.03181695456420241,0.027053217095613667,2.202591300010681,407.85059047164896,181.0709284949847,1.0064484494052846,,0.015877849936990675,0.045557171652062994,0.09126516213505699,0.05428424522651817,2.2496818900108337,570.9928686998062,256.0926097275519,1.010492978709996,,0.029774661418177605,0.04290494935874856,0.023121770540566532,0.004663043833292345,0.03607318243572568,0.016817188443734376,0.010057600666590795,0.06482356595181862,0.028347026175258354,0.015231649072970808,0.025558747029432935,0.01272858303280924,0.0034256872374343024,4.242546183447327,5.868210413631348,1.4325687619607206e-06,2.394785988162595,4.326115100321317,0.000115308286674703,1.9145713406534037,3.6828602342440826,0.0007326344726346821,3.7452817806662804,5.2993491586674235,7.545676137948758e-06
8,0.028881916140338935,0.04758081886261505,0.039948930874551494,2.32017719745636,334.74455244630695,144.6256933317315,1.011861208688005,,0.024151939487440134,0.017064099069116212,0.030418162456861516,0.029878299212650707,2.278164505958557,309.6965986266104,131.2750289610292,1.008808970692255,,0.017068806130904376,0.05032731013582045,0.08000711430889137,0.05392270378656229,2.3907862305641174,368.44504806889717,158.43739252991566,1.017549837212818,,0.03553834739935383,0.04563246526872417,0.02512870203408473,0.008323740158954304,0.03886440955578805,0.01850040213327186,0.014400849386063988,0.05883436630031036,0.025921743888353988,0.017746068888187368,0.026829740356368374,0.01406298679854904,0.006447303381160148,2.463287277484559,4.768308659784494,2.8619179049614665e-05,1.8546429983636878,3.9092213618372296,0.0003610518576380515,1.4140837721851933,2.972681996095916,0.005055438259997054,1.9801695070105485,4.805538100835179,1.9632611024368903e-05
15,0.05713277120706185,0.08136203803840006,0.06047431374612812,2.5305503606796265,212.37930239768667,85.25639390359096,1.019070193714923,,0.0351891251310913,0.031445606986347185,0.055439925671634895,0.0452493878533177,2.479967951774597,166.09693792426646,68.18307016436366,1.0137422901787956,,0.027334204323943817,0.07415156159192068,0.12655902449707865,0.07535160594268825,2.559232234954834,245.51236359447878,97.86611392975368,1.0316849833705262,,0.05246392428425969,0.06546449558320724,0.02361879029217912,0.006737051399900601,0.060461209051270844,0.019006084696639856,0.012429922932697167,0.09371511752713697,0.024327197688806854,0.012807562333486379,0.0390426753176023,0.013598628194152007,0.004796118585955334,6.21127891226205,7.716704091505915,8.247768129434442e-09,5.4177304026785755,7.082584041423748,4.5266000770532574e-08,3.3351071104055223,5.262759209219179,7.703498799101475e-06,5.30513302943741,8.207015185937097,1.4208203152008088e-09
30,0.09030523143934616,0.10427955729076943,0.08082386165516986,2.46773099899292,81.94135031407828,32.56091697397379,1.053031874153381,,0.0542397146769376,0.030975194120860798,0.045072342534985155,0.06198157034946661,2.397356867790222,51.28930510618842,20.887509727227588,1.038226157776338,,0.0418482314656205,0.13951172793719382,0.15319886132853566,0.1224299409948886,2.5256821513175964,111.48849594704424,44.274223436012406,1.0807229538106573,,0.07994484890280534,0.09797767077428028,0.02756445706814781,0.0065881621975910284,0.09283524992687074,0.02389623226379213,0.011014138049301367,0.11679477908340222,0.029205516173435257,0.021526635366628362,0.06311111283659138,0.015849629010607057,0.00506002592295618,10.687838519197232,7.656346692687626,1.5338895325084554e-08,4.0688784576967425,5.0437006056704226,1.7336157362430806e-05,6.2591386956014645,5.149754780359422,1.4809404231172676e-05,9.340166344122817,8.63355932909728,1.0274353342747387e-09
