means,sampler,wasserstein_distance,r_hat,ess,mode_distance
"(6, -6)",HMC,4.295331884915491,1.7389993064557614,6.239938155211495,12
"(5, -5)",HMC,3.7240703651935387,1.7340832037196312,6.289986930460489,10
