mm,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
0,-39.79842226122814,8.333362228841738e-16,-10.275908441537807
4,-134.83433906083948,3.346744449262988e-23,-34.814076645301036
6,-127.46344753231236,7.348005810156946e-23,-32.91092063618857
8,-44.053162503634965,2.0316897997677975e-16,-11.374477648289817
10,-150.68705027050203,7.066491659586367e-24,-38.90722907911828
12,-59.929289512911055,2.7924634901259194e-18,-15.47367601556982
