dimension,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2,6.862094125131353,1.5438243162611912e-07,1.2528412480193734
3,5.988161922957201,1.645378789923213e-06,1.0932837877323907
5,7.16054705161872,7.00171533050204e-08,1.3073310480828941
8,5.559392866805112,5.367170818714766e-06,1.0150016263941577
15,5.719411807188564,3.448191947840292e-06,1.0442169541528548
30,6.922802654872253,1.3134199405138866e-07,1.2639250584100614
