mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.049200470136191644,1.0093297689567455,2232.696219596026,4.537786831855774,0.022418397692188865,0.0018911592712716008,236.95784793759188,0.13791251421213352
6,0.06304501804279004,1.0148070416981996,1391.3900674461765,4.534855513572693,0.042167162216665534,0.00368661349786941,242.9926625033882,0.13487288770334827
7,0.11982844743346284,1.025495452593028,774.6102286085464,4.566212649345398,0.07181068919228382,0.00688503706396591,206.75793140225642,0.11484426104020161
8,0.12323630967313035,1.0543171051953684,331.25806146466954,4.55125482082367,0.10145308935664576,0.021138459581884508,143.97457953149038,0.10838338724647453
9,0.2810496635009502,1.1158581896668962,144.66180377023173,4.559000592231751,0.21981784427294643,0.04666220167696144,90.2849387682952,0.11798223905431672
10,0.46432275164097986,1.1160561136244034,352.2932893740396,4.5767689085006715,0.2867855716753293,0.07931750423219669,610.1400540745184,0.1419546772477573
11,0.7468223995425545,1.0730208159079226,1325.5999889955428,4.568207383155823,0.3295990006006315,0.06487636722708419,1748.6450833464999,0.1115605854950605
12,1.0380402745999,1.0352304833805526,2723.0846640295877,4.543202848434448,0.2181660463117371,0.04825959274097287,2056.5579327276955,0.09636962740027302
13,1.2170528528314364,1.02895505398001,3389.5416482387973,4.535784988403321,0.23831225319871976,0.04926821545912203,1836.3491003181055,0.10398173970901575
14,1.335444532666081,1.0150655175273162,4000.462210728916,4.5528281927108765,0.1849255591682051,0.03590789088509634,1300.0667885971925,0.13923823206971742
15,1.4959249903032856,1.0068554405411314,4329.872055641668,4.55816885471344,0.10491404538158831,0.01956293626154396,657.735470883871,0.11289214501448448
16,1.645106665021624,1.0041048465911264,4433.214812877656,4.554335517883301,0.016472957503641937,0.0010274355351543665,209.31672736993636,0.13528409656934004
17,1.6666590178497873,1.0068268166621177,4314.076049131987,4.528142657279968,0.11922775174154812,0.01956402773507911,651.6327207157735,0.13571628269625974
18,1.7906714163884765,1.004262390451791,4409.7440570375265,4.552590713500977,0.016260711330675772,0.0009278629368586359,243.30062200818358,0.11925306339503651
19,1.8760084259936511,1.0040443196908675,4402.199941344777,4.560131349563599,0.016142782908141796,0.0010076646550852874,251.47702251263735,0.12053699204056338
20,1.9869014627394095,1.0042495476396525,4417.077249820823,4.545886120796204,0.016098165130305767,0.000913018173988682,214.58261697622888,0.13791070215450998
