dimension,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2,6.294047250250502,7.132219461601693e-07,1.1491305523218545
3,6.1167468561212095,1.1568326889251225e-06,1.1167600772154644
5,7.340385540953837,4.3692189262758265e-08,1.3401649138550593
8,6.9896496470887195,1.0997964713018784e-07,1.276129593589505
15,8.648563265080563,1.595576753585343e-09,1.579004396765052
30,5.507758116682524,6.19236086463692e-06,1.0055744539297298
