mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
0,-21.056689347768007,5.345062096141338e-12,-5.436813811344574
4,-20.163655147139526,9.62842032270063e-12,-5.206233372236056
6,-18.400440828831275,3.318444670246165e-11,-4.750973392862568
8,-16.858476285813072,1.0752254050449566e-10,-4.35283985982578
10,-12.08107233857484,8.578457190690353e-09,-3.119319464775163
12,-15.027956672833186,4.965586229320323e-10,-3.88020172809397
