mm,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
0,-28.113044416319198,1.0215667478472338e-13,-7.2587568557062445
4,-15.004023806854816,5.07142315351799e-10,-3.874022288669887
6,-25.8459656597714,3.2464403887839337e-13,-6.673399637796228
8,-22.56541050286693,2.082134012098639e-12,-5.82636393852917
10,-23.77351844570475,1.0208713436727726e-12,-6.138296068064622
12,-20.56783050410611,7.35497463665151e-12,-5.310591000667991
