alpha,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_dist_glass_delta,mmd_rff_glass_delta
0,0.037219917283473125,0.020869464762525436,1.0043791269997233,950.4115238257682,1.9281214475631714,0.03314692101531515,0.01601286432427722,1.0032222821423025,759.5632137870462,1.839073896408081,0.04008776469347456,0.02182868492593354,1.006555974301572,979.5991827819724,2.8277851343154907,1.7865084198258596,1.582565601654404
2,0.02876069235667359,0.014213523764254835,1.0056788660289868,816.8554309839386,2.0110055208206177,0.022750138547736692,0.010317939627508354,1.0050373343176966,747.705632842391,1.926394522190094,0.03442623420329033,0.02250214436431875,1.0068176327392042,929.1530530920584,2.1794230341911316,3.5023192066365345,2.0718239151303055
4,0.01936445936502903,0.009886289776490588,1.0053202910902157,782.3438277546504,2.160950779914856,0.01836265794724334,0.008624802987578416,1.0046752367194949,747.0683834041099,2.0003486275672913,0.025209724402598457,0.01210769210025274,1.0075344368994903,822.9386919189045,2.540193200111389,5.614514533617983,5.844952191254998
6,0.02427912635568403,0.015582928698200074,1.0044486684712042,739.3915742410786,2.0477755069732666,0.020395393165614326,0.010488836412202163,1.003281122590743,681.7491488309602,1.935425043106079,0.028654915623103662,0.018371670878250614,1.0077786139149432,754.1562783022184,2.2495699524879456,1.1829404253907723,1.0574368356460229
8,0.02188523134459387,0.010995826302196865,1.0045229848238242,665.8065220845888,2.0770890712738037,0.017637293296786587,0.010152083397345846,1.004472417188788,651.3555532086402,1.9817079305648804,0.023300830724233224,0.011166673320420314,1.006917218438906,757.6223539664622,2.4386091828346252,1.4069657065549888,0.526969168646776
10,0.028465399623653718,0.017847371002291626,1.005529793743993,700.9005791291395,2.0311766862869263,0.024515440575880138,0.017171823711191796,1.0046283552475594,668.5462229052142,2.026656985282898,0.03438866389335997,0.020073846668796205,1.0059133385053336,818.1841309661877,2.076101005077362,26.87667081236143,9.954738569981105
80,0.019105170861089614,0.011022976882932122,1.005069305611075,637.6612789277106,2.158758759498596,0.017563156158157605,0.006773846026256726,1.0043612584788717,595.8626968866091,2.1075674295425415,0.025745783703472396,0.018433790234269228,1.0054758465197258,657.5655909374593,2.327388107776642,2.4149506865872987,2.0244742517163297
100,0.023024256841244997,0.009395516463926765,1.0045570999404818,615.4400722241325,2.31417453289032,0.01684372642235045,0.006273258173468868,1.0038782150095291,601.7388916315739,2.3130223155021667,0.026759472794472654,0.015487767928129446,1.0059666875747437,648.2065561210079,2.394972085952759,0.9054222826198506,0.2829950991263841
