mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
5,-17.334388595695195,2.464701240598213e-09,-5.0040069609811
8,-16.07816724173075,5.47701867452558e-09,-4.641367092544536
10,-15.78942252357715,6.634328704470616e-09,-4.558013672168004
12,-15.1510918771381,1.0255028295950581e-08,-4.373743486891217
15,-11.956202696792554,1.2078262134840117e-07,-3.4514584227394556
18,-11.84691144184041,1.3272519100991682e-07,-3.419908755006109
