nu,sampler,wasserstein_distance,reference_swd,relative_swd,swd_zscore,r_hat,ess,runtime
1,Metro,4.411407062218066,6.176886988878369,-1.7654799266603032,-0.1755862648536157,1.0587696343162027,151.90362338271277,4.419560670852661
2,Metro,0.6508657733764706,0.1999672295255523,0.45089854385091827,7.671589555225003,1.0877533550874623,43.69370961386176,3.8033852577209473
5,Metro,0.7705440336067199,0.11703511987915804,0.6535089137275618,11.253767879886862,1.057365598894749,102.36882431537501,5.449785232543945
10,Metro,1.3499826012808043,0.11050500288427387,1.2394775983965305,21.002284214831587,1.061742224059211,69.67363950490234,4.171337842941284
