nu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
1,4.423834844947354,1.0137494109060443,2187.6050895647904,7.533283329010009,0.24380691735883894,0.004652507732929896,531.0750423134901,0.21876546922365334
2,0.1171126027086981,1.0050238998718863,4626.392173876734,7.479982614517212,0.030489279027275926,0.0012401497927723973,908.9815478039699,0.16096805253919927
3,0.04180973106983714,1.0034486924705668,6292.986582164453,7.7580866575241085,0.013104346852308747,0.0008877667760406198,656.5587749469906,0.2042462376743945
5,0.025933661012272503,1.0028306845999642,7331.729995797557,7.812380647659301,0.007667465476551993,0.000622910289669405,449.2794239606957,0.1446247331150341
30,0.015955467663183613,1.0018265350927609,8967.488064357876,7.678061866760254,0.004561216384621697,0.00038802429512382067,367.97568305374006,0.25762671152649186
