mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
5,0.5090710158912498,0.6186310277024526,0.1314415711055801
8,-0.27970316396960043,0.783795217612627,-0.072219046395719
10,-1.4827066566024958,0.16031097097025135,-0.3828332125554897
12,-2.4281530729539296,0.029246493097669746,-0.6269464275728621
15,-4.533330525025857,0.00046837011748566466,-1.1705009084185913
18,-1.0100074042979266,0.3296302498031147,-0.2607827904261367
