dimension,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
15,-2.2141542859023713,0.09120339660661045,-0.9901998991900413
18,-2.108772276651665,0.10263244640104546,-0.9430716319320229
30,1.497743654358579,0.208555270789672,0.6698113248029463
