mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds
"(0, 10)",DEMetro,5.0393913490617965,1.0106293198214262,621.7767286127431,"[65013, 239846, 34701, 148997]"
"(0, 15)",DEMetro,6.54152457113672,1.0181101767705745,161.66310045519066,"[65013, 239846, 34701, 148997]"
"(0, 20)",DEMetro,10.056316948727853,1.0057466880867105,803.1501495109796,"[65013, 239846, 34701, 148997]"
"(0, 8)",DEMetro,0.07513078453521876,1.0458766728183404,123.70878193760583,"[65013, 239846, 34701, 148997]"
