nu,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2.1,-86.50870849147903,1.65904927043383e-20,-22.336452485960695
3.0,-80.45904724752248,4.5689692646981275e-20,-20.774436669424684
4.0,-77.6150187490144,7.55382548585647e-20,-20.04011166870061
10.0,-37.58258287199458,1.8454387201549884e-15,-9.703781171379674
50.0,-20.715609692022035,6.6734502888625924e-12,-5.348747422915619
