nu,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2.1,-8.127649532108276,1.1384350190897936e-06,-2.09855008544439
3.0,-8.22692736403386,9.873892153571417e-07,-2.1241835114240817
4.0,-8.563048979292914,6.150549545531753e-07,-2.2109697393039918
10.0,-8.025121211406223,1.3203519898581245e-06,-2.0720773868714795
50.0,-5.170698139293519,0.00014200122770146283,-1.3350685187832985
