nu,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2.1,-16.34464604337116,1.6261610877650696e-10,-4.220169461708763
3.0,-35.03442865249116,4.883910103657979e-15,-9.045850580999346
4.0,-19.75295975451749,1.2725940908544902e-11,-5.100192277836772
10.0,-25.619912122381763,3.6625392402940197e-13,-6.615032865418805
50.0,-12.91721034349703,3.613806805919747e-09,-3.335209369321479
