mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds,mode_distance
"(0, 8)",Metro,0.07266411983381423,1.0078052903499857,689.2164824153153,"[913133, 908763, 99791, 345150]",8
"(0, 10)",Metro,0.35979462175004845,1.023663754332235,121.53795747697266,"[913133, 908763, 99791, 345150]",10
"(0, 15)",Metro,2.4908853484232933,1.000156889731318,8837.981156726335,"[913133, 908763, 99791, 345150]",15
"(0, 20)",Metro,3.2933545459461735,1.0001302458387253,8790.206460768937,"[913133, 908763, 99791, 345150]",20
