alpha,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,ws_dist_glass_delta,mmd_rff_glass_delta
0,0.030965070463908145,0.014314500646794959,1.0016190533609892,1705.4284703892945,0.9595295190811157,0.021705841383588366,0.010119121687031437,1.0013164068990525,1585.703798300115,0.9511601328849792,0.04375051350016175,0.023058388133095728,1.0023950290754655,1835.9948361801078,0.9743366837501526,0.03344095361384995,0.026826385641455903,0.00604767014030654,0.01697505438025201,0.012214425960758963,0.004123616571509012,1.0937382196673138,1.1544789232794563
2,0.020350754093823954,0.012348933595818998,1.0016327350229826,1603.6068959993959,1.2124496698379517,0.018373100843085504,0.008032561616836863,1.0011319711320446,1531.410260315259,1.1963847279548645,0.028537293879764544,0.018049365687237123,1.0025483624982052,1696.194189626701,1.5110359191894531,0.023683931756100587,0.019993642753541555,0.006046486956318437,0.013198832996781793,0.010385339087815911,0.004465659986058496,0.6103195176337505,0.630028689544083
5,0.022308313601575605,0.013481121126916271,1.0037125054840765,978.2012302965115,1.2413707971572876,0.01815921461732176,0.010325960685848836,1.0024951163316667,877.3333453994825,1.2238810062408447,0.026723222293572255,0.01762945880242447,1.0062535393095895,1070.1375291926247,1.2634900212287903,0.023879103762988647,0.016922108672720315,0.005568480754160435,0.014357705735017484,0.009599589472197743,0.004505815140132641,1.2493524531032063,1.055994556998109
7,0.022720150117014375,0.012635699110857929,1.0031207755795648,983.3600881178365,1.2693315744400024,0.01829606767410137,0.009421000938650701,1.0025250256159304,883.8905565160503,1.2492448687553406,0.03324772879019923,0.021368163795434728,1.004883065981915,1016.7061511171357,1.3697906136512756,0.026018584077753995,0.01753391039473812,0.006301720362472759,0.015591607980605287,0.009966619845237067,0.005268100582659669,1.3464059328215792,1.0677450149458556
10,0.022375686162622064,0.013362570227833898,1.0039298945941324,827.9364548787082,1.2899681329727173,0.01717914740775474,0.008449594507361678,1.0028272833935434,765.7475046565194,1.2836726903915405,0.033053049875518395,0.022468111736288595,1.0059141263855027,899.5659892008111,1.4236023426055908,0.025582762664848893,0.01752225420524541,0.006059968120729573,0.015676636077168557,0.01004624517708372,0.004717906571419,1.3301239047826976,1.1934087322105216
