mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds,mode_distance
"(0, 8)",DEMetro,0.4144702927657462,1.0412071596953734,137.84308638002568,"[675486, 315776, 483526, 108074]",8
"(0, 10)",DEMetro,0.9803315318572552,1.0047934673887375,930.2952098278425,"[675486, 315776, 483526, 108074]",10
"(0, 15)",DEMetro,0.9100361474686623,1.0359241740705634,103.54720726465516,"[675486, 315776, 483526, 108074]",15
"(0, 20)",DEMetro,4.585038801419374,1.1057521543634832,29.59605816038505,"[675486, 315776, 483526, 108074]",20
