mu,global_median_wasserstein_distance,global_median_r_hat,global_median_ess,global_median_runtime,global_median_mmd,global_median_mmd_rff,global_q25_wasserstein_distance,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q25_mmd,global_q25_mmd_rff,global_q75_wasserstein_distance,global_q75_r_hat,global_q75_ess,global_q75_runtime,global_q75_mmd,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_dist_glass_delta,mmd_glass_delta,mmd_rff_glass_delta
"(4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0415219167650481,1.0110773280185195,642.6517280700202,5.505685329437256,0.021887148490462385,0.021454144613827816,0.040162372008350725,1.0096499231024594,622.2459009797409,5.237414240837097,0.021062653488042177,0.020937536089253757,0.04249378080877584,1.0127369617441722,714.361554511896,5.55868536233902,0.023139028865413303,0.023324616645853613,0.04154992814709122,0.030317410487475323,0.0012111958675533575,0.022132728710263023,0.01396151274859433,0.0009038727102022261,0.022077226237099273,0.013957711808325573,0.0012175034327927949,9.273906855631726,9.040228639982418,6.668986887493687
"(6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0631204228335925,1.0286673206835122,180.78368459678825,5.5469276905059814,0.034644382569782896,0.03439138598696743,0.05079759039545557,1.0200282859668444,136.22939965647583,5.46629923582077,0.025106009043212123,0.025035356578967466,0.07463374142351548,1.0345426719332782,203.95880333057957,5.577943682670593,0.0441820280323486,0.04212603636188271,0.0638494336802641,0.032273828356053164,0.001690692565607574,0.03450574141859145,0.014103479030636556,0.0012100232007597068,0.03431053394768216,0.01396663629161264,0.0010299917493404355,18.676136612018407,16.861050577497554,19.751515164171867
"(15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5428486737163392,1.5340423189644674,7.277779855495355,5.43805730342865,0.2499473108886347,0.2502773581115296,0.5077351435108917,1.401740985227617,7.242179121299993,5.100502192974091,0.2414141006474426,0.24338448093342618,0.7064652394352171,1.5359600578243822,157.55992169935334,5.4913649559021,0.32496641091436845,0.3184734221648185,0.6089962746805414,0.045219249340167744,0.015559337246765064,0.2768706389054427,0.014928359430707418,0.007119678105528222,0.27506072079874705,0.014729379354134523,0.006442501448917835,36.23399997050571,36.79130932497422,40.40842575027144
