means,sampler,wasserstein_distance,r_hat,ess,mode_distance
"(6, -6)",DEMetro,1.8142996660561697,1.0600847530854496,85.03283594851361,12
"(5, -5)",DEMetro,1.424570103881385,1.1165093415808172,71.10264994362834,10
