means,sampler,wasserstein_distance,r_hat,ess,mode_distance
"(6, -6)",HMC,4.321812601116635,1.7309103359795497,6.241529630132748,12
"(5, -5)",HMC,2.549771490444082,1.6545591409900948,6.551976176052248,10
