means,sampler,wasserstein_distance,mode_distance
"(8, -8)",HMC,5.772622573705182,16
"(7, -7)",HMC,5.054340699940578,14
"(6, -6)",HMC,4.3785071312822925,12
"(5, -5)",HMC,3.590394203581179,10
"(4, -4)",HMC,1.189528302733953,8
"(3, -3)",HMC,0.287030341005225,6
