nu,ws_t_stat,ws_p_value,ws_paired_cohens_d
2.1,-33.48791212381664,9.124926116171904e-15,-8.646541730319953
3.0,-32.48324707474124,1.3906682929407952e-14,-8.387138330080909
4.0,-18.51524784838316,3.051519781854764e-11,-4.780616437846046
10.0,-29.670046285629095,4.8595589527445946e-14,-7.660773009696314
50.0,-12.594250301067268,5.017308060700236e-09,-3.251821444933418
