mode_means,sampler,wasserstein_distance,r_hat,ess,chain_seeds
"(0, 4)",Metro,0.4857357599453519,1.0622572307891396,74.40728915951539,"[763122, 771032, 421930, 936576]"
"(0, 5)",Metro,0.7162613001482715,1.079033760854517,44.554622134026694,"[763122, 771032, 421930, 936576]"
"(0, 6)",Metro,1.1225338545097219,1.1088121900780012,28.847447124555934,"[763122, 771032, 421930, 936576]"
"(0, 7)",Metro,0.37017062375458565,1.1606577924766819,18.35738577317548,"[763122, 771032, 421930, 936576]"
"(0, 8)",Metro,1.3339176477779227,1.2740550141198341,11.527498989521565,"[763122, 771032, 421930, 936576]"
