nu,global_avg_wasserstein_distance,global_avg_reference_swd,global_avg_relative_swd,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_reference_swd_std,global_avg_relative_swd_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
1,7.523429620756765,6.176886988878369,1.3465426318783966,0.1339207473431543,1.0354805685635406,197.68252311586957,5.225807309150696,7.035355396881079,0.0,7.035355396881078,0.6997030990847185,0.029559594123278056,98.89525543575577,0.9989630563615752
2,0.3725497055322154,0.1999672295255523,0.1725824760066631,2.9363189089946093,1.0453556936933128,154.41015013513635,4.6155189871788025,0.15588550725967612,0.0,0.15588550725967612,2.652236618665335,0.017306742914993983,54.721830033876515,1.0140780516801764
5,0.5395106208074884,0.117035119879158,0.42247550092833036,7.275250761718627,1.0318687849131052,193.0668014117146,4.799975872039795,0.147596879404304,0.0,0.14759687940430402,2.5416960438035376,0.013826947341172005,24.697801229176818,0.5881221522664966
10,0.48006565601253337,0.1105050028842738,0.3695606531282595,6.26200738251295,1.0415452087027883,160.85275746990314,5.287439525127411,0.33708661476848223,0.0,0.33708661476848223,5.71175219103736,0.02336510803144632,7.726863321108387,1.0582400823066396
