dimension,global_median_wasserstein_distance,global_median_r_hat,global_median_ess,global_median_runtime,global_median_mmd,global_median_mmd_rff,global_q25_wasserstein_distance,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q25_mmd,global_q25_mmd_rff,global_q75_wasserstein_distance,global_q75_r_hat,global_q75_ess,global_q75_runtime,global_q75_mmd,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_dist_glass_delta,mmd_glass_delta,mmd_rff_glass_delta
2,0.2220154826787497,1.0185103633738675,472.2116386464688,3.4081292152404785,0.03485766387564755,0.03430475812860794,0.175494883305643,1.01676082486229,417.8349652844116,2.839644134044647,0.024768242305469788,0.02496497406266021,0.25216019732120626,1.0232370087552505,599.4539261273693,5.779910326004028,0.043398792784830956,0.044653022398979635,0.2505851253445373,0.11332904972746753,0.034831073877844405,0.03421495437054729,0.013873748398455722,0.0038684129145991806,0.034474321019340726,0.013835191481035639,0.0038550922426705964,3.9406214146149705,5.2582819934565315,5.353731698001455
5,0.18724395338448047,1.0364782844830935,411.4588617294896,4.505452632904053,0.031911676520130466,0.03194501768962506,0.14303147116518855,1.022307186467654,407.2854087217231,3.4568121433258057,0.02381795402109911,0.024508903498343476,0.2221635628318521,1.0491730671902164,470.0171443233574,5.564167320728302,0.04340055259715052,0.04343196813146234,0.18285387253627225,0.13979684883520976,0.036630384471445905,0.03499046160676973,0.013977938215886537,0.0021705732181458806,0.03560237828164077,0.014166362543674052,0.0020172381791458307,1.175445584924894,9.680633307008296,10.626417821936862
10,0.27889437829852737,1.072614547328028,304.65542994344,4.661504030227661,0.04474059595425237,0.044088133313747405,0.2099617142312286,1.0491234460253718,216.56512470815258,3.9900805354118347,0.035748382502592324,0.03619720415703229,0.3063291182479862,1.0866772527523079,351.1047279113695,5.492994904518127,0.05552361864700302,0.05558492337991948,0.29822848930174917,0.12093365590285901,0.03294898982383535,0.050586613598112416,0.014856035297815021,0.00270397035680931,0.050876676678691446,0.01481220279582567,0.0027531036263269905,5.380888286615536,13.214116127537562,13.099570077200699
15,0.2690003764290105,1.0789636761623957,277.8437986224898,5.302963495254517,0.041343030183235444,0.04135025965967805,0.20982985147503758,1.0584726368292823,240.58656393457312,4.65881621837616,0.03257889797547279,0.03299037496334781,0.3461385218268968,1.090004490354364,291.8812290097694,9.495482921600342,0.06550682590560611,0.06532609517768462,0.2936188456973935,0.10740454559515948,0.020024899720445487,0.050482827586976683,0.015734504153720207,0.001875808083215516,0.049903751600268116,0.015935348953550126,0.0020464622069481003,9.299137708645233,18.524455536885625,16.598597585330076
18,0.3238675030527687,1.1564363203130021,146.84975885334035,5.948610067367554,0.06469616949140326,0.06302407988130039,0.2744263787631536,1.1093934510563896,138.45124866324477,5.219844341278076,0.05291804669967037,0.055127236204455345,0.3976916979098989,1.2253738498566669,183.23321771838567,6.884759962558746,0.09968534925497499,0.09685200444132877,0.36258658892771267,0.11888619573537548,0.015887497501079668,0.07860089484912369,0.014849633269618318,0.0010567976810784566,0.07652274595455964,0.014754004696470573,0.000934213300977293,15.339130229652342,60.324944614230745,66.1184562384971
30,0.5247198027571647,1.290336089411653,107.6998636601855,10.6556396484375,0.10131047730876783,0.09980311463157339,0.3341468394093211,1.2542132988140409,73.84777563206863,8.859099805355072,0.08197519375818083,0.08273564842403246,0.7962109392622934,1.3871271076234404,127.82258672989477,15.613441348075867,0.1367769570294231,0.13882440452846082,0.7453038137289114,0.11854382694247882,0.033552657382800645,0.11623442151479187,0.015838805551418356,0.0018738465449260762,0.11697818444017968,0.015673434749936772,0.0017400010453433987,18.67989112265411,53.577287977620465,58.22108553403189
