mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
5,8.419590552266923,2.803075379052105e-09,1.5371998901446577
8,156.479551786982,5.312332815477315e-44,28.569126767342624
10,171.41352616196042,3.788344431855927e-45,31.29568498013589
12,200.90005893240456,3.8103934169598424e-47,36.679164693798405
15,207.9856681542749,1.39545507802193e-47,37.97281402862674
18,260.4397079694497,2.058994056839926e-50,47.549567641641865
