dimension,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,ws_dist_glass_delta,mmd_rff_glass_delta
2,0.07714200208891347,0.04855750615977569,1.0420942347975894,95.37744130415021,1.0462279319763184,0.05154120637231876,0.033100463320243925,1.032980429878807,79.36080691727467,1.0076398253440857,0.09425601767436959,0.062264983888484865,1.0508950569777866,115.55413433392789,1.0659806728363037,0.08292491138653212,0.02829634345224935,0.007283351562729336,0.05126676420802179,0.016353014457139523,0.004372185822794781,7.500471103692194,7.985422204348296
5,0.14371870988757146,0.07895065796789585,1.1300868274376916,24.319170994441095,1.1986812353134155,0.11159824675522567,0.06563881713567772,1.0981715332241038,16.87188699841182,1.1902910470962524,0.1824218369029274,0.10216889028502181,1.177772330359787,37.712328196935815,1.216229498386383,0.15274220522437548,0.025025327368437003,0.0065916338011664,0.08498328700263694,0.017596331420778974,0.0029955121096105534,19.375602727405578,22.495971678985782
10,0.1684000955677901,0.074890142371313,1.3585177226273117,9.458677522206226,1.4955857992172241,0.12898547889680279,0.06300855747929138,1.2663046747481401,8.323455952906734,1.4823546409606934,0.21921805131694538,0.08099722243891777,1.4410308589600502,11.645542779640401,1.5047234892845154,0.16834470813116587,0.02401336443107112,0.0060155038987055685,0.07489055889642238,0.02163391011034912,0.0024120893546798884,23.993225859458317,22.079053034559333
15,0.19187175914122234,0.07446509187713124,1.4853834381871054,7.644815152209591,2.150391459465027,0.1343179894934562,0.062130048302082096,1.3278692900297642,6.592720247569112,2.1370038390159607,0.31723957821961873,0.10336014799338361,1.646611537358123,9.923955696206294,2.16816782951355,0.2287835050674725,0.028466148493144994,0.009930218381004668,0.08378571172654829,0.022411100174404137,0.002110099133523547,20.17250264682103,29.08612708145983
30,0.3890681492652862,0.05499095542097161,1.8860590522262726,5.6716686015579985,2.7342029809951782,0.244850496548565,0.04672760494077055,1.7057757028647482,5.224234270179036,2.716698467731476,0.5520972608278449,0.06459759337637086,2.1462981617310573,6.243095924982982,2.763315439224243,0.42731651244950936,0.02493008542179862,0.008730133688157506,0.05981344184321135,0.02242097554589066,0.0008738549570456909,46.091668398337475,42.79024338745677
