mu,global_avg_wasserstein_distance,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
"(10, -10)",4.048785746977202,114.727701197285,1.0351921969169076,390.7303713131317,8.730628967285156,,,,,
"(20, 20)",9.00032168398096,131.76783433669723,1.0061499682719182,1263.2382083444816,9.873917818069458,,,,,
"(5, 5)",0.5055247955528912,8.262702955606521,1.0389487292540525,376.46952836812267,10.217823028564451,,,,,
"(50, -50)",21.519423353838,179.64074132674537,1.0238008259376223,713.5521436817426,12.110790729522703,,,,,
