nu,global_median_wasserstein_distance,global_median_mmd_rff,global_median_r_hat,global_median_ess,global_median_runtime,global_q25_wasserstein_distance,global_q25_mmd_rff,global_q25_r_hat,global_q25_ess,global_q25_runtime,global_q75_wasserstein_distance,global_q75_mmd_rff,global_q75_r_hat,global_q75_ess,global_q75_runtime,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mmd_mcmc_mean,mmd_iid_mean,mmd_iid_std,ws_dist_glass_delta,mmd_rff_glass_delta
2.1,7.958760700791679,0.20799963382527278,,,0.6320436000823975,6.281191009124441,0.18556294613796298,,,0.6286972761154175,9.91634680004965,0.26032980717759197,,,0.636107325553894,8.635759489145805,0.11819299438038425,0.028316893800595405,0.22613280227184743,0.022306432656093826,0.0006021020420705521,300.79452056942506,338.5246276774294
3.0,6.993955409889738,0.19110217519501413,,,0.6386053562164307,6.30647190116256,0.15838531439170928,,,0.6369946599006653,8.452077339959557,0.24665838999188985,,,0.6403278708457947,7.514178457817608,0.06580857215780439,0.007561154801551686,0.2109004912008704,0.022098761806699802,0.0006156146203343283,985.0836388287228,306.6881830903172
4.0,7.576448934042741,0.22957996447143197,,,0.6383395195007324,6.968458393421163,0.18484035873279994,,,0.6359724998474121,8.11795333992638,0.2989429835669646,,,0.6416803002357483,7.348209558483343,0.04856709396575701,0.003052636429783488,0.2395552804820888,0.022328957197572333,0.0006899493976718741,2391.2583867825106,314.84384799452334
5.0,7.390751837327546,0.2518577279338867,,,0.639335036277771,6.043332864261608,0.19292848361462345,,,0.6372225880622864,7.77850976327472,0.30085152178107294,,,0.6450692415237427,7.061389744010682,0.042630049081016634,0.0025805585690784894,0.25368337871055313,0.022352121921316574,0.0007412097068578311,2719.8606453005427,312.0996050765528
30.0,3.6287859445843633,0.31684428460514125,,,0.6401592493057251,3.2108546075790994,0.251369160042434,,,0.6376315355300903,4.120698672142946,0.35663797412944737,,,0.6408631205558777,3.6715187212270877,0.03046211181467034,0.0019302818152181487,0.31487224872519026,0.02237494099807985,0.0007489174846667383,1886.282397060725,390.560126737152
