dimension,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2,-6.969417036069424,1.1604413207744433e-07,-1.2724356411053397
5,-7.144299621585846,7.307806966154845e-08,-1.30436468677273
10,-13.864873431448228,2.5108282498472894e-14,-2.5313679784527507
15,-14.829818405927734,4.5069282042520324e-15,-2.7075420215439747
30,-22.44773636604687,7.026571941460542e-20,-4.098377190870972
