dimension,ws_t_stat,ws_p_value,ws_paired_cohens_d
2,-7.977946136914241,8.472650810024872e-09,-1.4565670205830428
5,-23.701353886242853,1.5724615726444834e-20,-4.327255388969315
10,-45.5384842071232,1.5637140760861666e-28,-8.314151678278044
15,-85.71080860165651,1.948619742592418e-36,-15.648581097711698
30,-148.05337697784196,2.6398569491479682e-43,-27.03072476186003
