a,sampler,wasserstein_distance,r_hat,ess,runtime
1,Metro,0.1434783395682014,1.0070160971692983,3014.61121784768,6.000150918960571
2,Metro,0.08431688151150431,1.007185109210431,3974.5936754071067,6.14789080619812
3,Metro,0.14563597674234505,1.004595609711607,4115.887582805155,6.021487712860107
5,Metro,0.21901565108154347,1.0065062365297286,3679.689930162342,5.882903337478638
