nu,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2.1,-19.24759106608213,4.629428956843848e-18,-3.5141132681760303
3.0,-17.848813721621,3.5004449421521693e-17,-3.2587326333465185
4.0,-19.930949378843632,1.803124373748737e-18,-3.6388768557620788
10.0,-12.905821853339775,1.5158184951632803e-13,-2.3562699174057746
50.0,-11.16352161081378,5.1324784989818436e-12,-2.038170869146372
