mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.0693935150450101,1.0069427291835253,2628.135149472015,7.088998866081238,0.03512224571516262,0.001798884510384564,184.54419214806256,0.2734387267730308
6,0.08035893618384984,1.0114954699701137,1748.5748996079876,7.095261220932007,0.047580071321308405,0.002792345624375423,137.7472625986179,0.2593458616374889
7,0.11553447211657325,1.0188023443389929,1104.6707228510656,7.013031721115112,0.08280579706580786,0.005008666770474874,163.03675574457344,0.21182435235392832
8,0.18192915850529404,1.0350745323127435,636.4880366035671,7.174364838600159,0.12130265624844071,0.007356565308964382,123.70527701998536,0.3745181828119931
9,0.24106849182946163,1.0595078450474775,305.2623196599554,7.169405941963196,0.18268194203366467,0.013099578116633507,77.4991248892416,0.32243972894552414
10,0.3114224748229986,1.0996777718054107,168.94193113824295,7.1140741348266605,0.2085705307581663,0.025118222468627778,54.90467203961235,0.3286698918469716
11,0.6289345929713845,1.172811741716447,91.94212051932392,7.152122645378113,0.3906432687276551,0.03654825781486065,23.587736622854152,0.340350246428403
12,0.7708134073104691,1.2646067945245132,60.75355901751331,7.116275324821472,0.6132231972597121,0.03840971441260811,7.445694901155192,0.2964927729687654
13,0.7456777146138741,1.3869908640627748,44.9544802805326,7.026005449295044,0.5741422664698652,0.05600443138852863,4.377230686512288,0.22788574260873584
14,1.1442968155045525,1.4956389928176017,37.93376818650811,7.050147194862365,0.7138865644711028,0.05165411816392322,2.352766627446969,0.2771738489291644
15,1.2432341151809734,1.5631194603244187,35.09161502855914,7.095454630851745,0.856391018503788,0.04774808958112883,1.8628699850854948,0.2965210723104951
16,1.2392990625124132,1.6040207254222612,33.81060150477324,7.2468450117111205,0.94695663552076,0.05182376663188018,1.5789914055115106,0.43996575177981556
17,1.496653692531518,1.6311038874155266,33.03601801858656,7.171633377075195,1.0035114527911095,0.05014337443493101,1.5680007657915842,0.3552774501267598
18,1.6351708151898128,1.631100711368511,33.21229791559317,7.120986409187317,1.2919998631246037,0.0640939034302075,2.5587124770976044,0.322840037700509
19,1.7042750240621822,1.6500191457679678,32.49285369162284,7.17306736946106,0.9662569439935436,0.036421798434316484,0.9528156445775464,0.3165427112130756
20,1.709838324709325,1.646907438151046,32.70740862464831,7.095952410697937,1.4606520942800822,0.056763980089191035,1.7842886496317991,0.3183811061646622
