dimension,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2,-2.951147263959296,0.0062097416946050275,-0.5388033089967197
5,-1.480747080870703,0.14945783297010082,-0.2703461927176035
10,-14.867191803868362,4.2242281885790485e-15,-2.7143654392448746
15,-32.14223274185082,3.146677814219662e-24,-5.868341973764273
30,-41.66745948224092,1.980167188044481e-27,-7.607402490785294
