dimension,global_median_mean_rmse,global_median_var_rmse,global_median_wasserstein_distance,global_median_runtime,global_median_ess,global_median_ess_per_sec,global_median_r_hat,global_median_mode_transitions,global_median_mmd_rff,global_q25_mean_rmse,global_q25_var_rmse,global_q25_wasserstein_distance,global_q25_runtime,global_q25_ess,global_q25_ess_per_sec,global_q25_r_hat,global_q25_mode_transitions,global_q25_mmd_rff,global_q75_mean_rmse,global_q75_var_rmse,global_q75_wasserstein_distance,global_q75_runtime,global_q75_ess,global_q75_ess_per_sec,global_q75_r_hat,global_q75_mode_transitions,global_q75_mmd_rff,ws_mcmc_mean,ws_iid_mean,ws_iid_std,mean_rmse_mcmc_mean,mean_rmse_iid_mean,mean_rmse_iid_std,var_rmse_mcmc_mean,var_rmse_iid_mean,var_rmse_iid_std,mmd_rff_mcmc_mean,mmd_rff_iid_mean,mmd_rff_iid_std,ws_glass_delta,ws_t_stat,ws_p_value,var_rmse_glass_delta,var_rmse_t_stat,var_rmse_p_value,mean_rmse_glass_delta,mean_rmse_t_stat,mean_rmse_p_value,mmd_rff_glass_delta,mmd_rff_t_stat,mmd_rff_p_value
2,0.03661294478254967,0.046737159853799476,0.04493664639820279,1.086992621421814,851.3893693456369,755.5191576042557,1.0057397831308856,,0.022540175523021747,0.02447066471201402,0.031777680142079115,0.03911497357370982,1.0726115107536316,768.4142408698738,685.6565196408835,1.004331431861132,,0.019445390380594382,0.04364808375362608,0.06259226208857345,0.05049519575027559,1.1087089776992798,894.7944897970613,813.0161523809463,1.0068857851562552,,0.02556516373030532,0.045555527520315206,0.029789951787446884,0.004799544841587314,0.036121059544859786,0.021896754894755587,0.00894844825356218,0.05030173374793904,0.029659868188210734,0.016346323730444947,0.02291583476456384,0.014604597909891662,0.003647283609428823,3.284806425030567,7.609187632029345,2.2839240570254287e-09,1.2627833572929266,3.6431457755072896,0.000655504925828752,1.5895833832912671,4.077189177654106,0.00018758223944740556,2.278747074449125,6.369741326517933,7.296751682034406e-08
5,0.034075875481291124,0.05100810830424739,0.037950844584586585,1.221402645111084,798.4099539189726,649.8204303979255,1.007898063795596,,0.020782149353056303,0.026057540038491235,0.04046553903260527,0.03465444030906778,1.2080333232879639,761.5373808378591,610.2987470784153,1.0068839747104876,,0.017446939134911185,0.04333710003079101,0.060701207554281905,0.04737167091808267,1.234851360321045,838.1940438397338,691.758251580362,1.0087584156404676,,0.025467575265882867,0.040851941372675296,0.02849164973662926,0.004513808801492548,0.03559485898916123,0.019972949963196422,0.006907525764652898,0.050269717955011936,0.033257995293559536,0.011112588586506645,0.02201317697665461,0.013448292068769937,0.003355415623899798,2.7383285778429407,7.160728793004579,6.068422938201093e-09,1.5308514779453566,4.566421971102998,3.282465240769173e-05,2.2615781045515666,6.21953782882351,1.2965174537412636e-07,2.5525555900971284,6.8022863658718,1.9184586834783805e-08
8,0.03626857612569958,0.044298611709994856,0.041172035422948464,1.392822265625,766.5202464652862,551.1959056685682,1.0077156084318815,,0.022192956245427553,0.03012225217432947,0.03925379853704133,0.0356429103447561,1.3853338360786438,714.9458996319407,513.0943602729676,1.0067574100555134,,0.018960511146906826,0.04348452244347385,0.05428177810856853,0.04348701199046118,1.402056097984314,815.9775963228723,581.5856886346127,1.0099811498361604,,0.02607420257914115,0.04089341901934853,0.027846522707450336,0.003530842382334977,0.037133080865552795,0.020481121090670854,0.006017069110103546,0.04684060920533606,0.032491994237184595,0.0067795782332787154,0.022447447410668075,0.013461893838352414,0.002633001511632995,3.6951228344750318,9.678084350410462,1.5013379585836086e-12,2.1164465508663715,6.609160755220502,2.1336949140684508e-08,2.767453634016077,7.561450703660568,1.2662053451831375e-09,3.4126655577735674,8.90012131283703,1.875940015800451e-11
12,0.03411873588507824,0.04886846174558331,0.03876506463990993,1.6246827840805054,753.170382134934,463.0362477371506,1.0094934137831748,,0.021073574611761098,0.029984670841754053,0.04156350050518996,0.03659406024883649,1.606775939464569,730.4009361669415,446.53382121745994,1.0078722970659824,,0.01959623515587258,0.03922542890405247,0.05212743022976459,0.04266529222014732,1.645794153213501,781.403925934352,484.087451900652,1.0105047195846693,,0.023227119921769346,0.03997680566913689,0.02860624232466853,0.0025315384752275217,0.03584896630087194,0.022150276267199433,0.004909949386456107,0.0481956917219846,0.032511984607329916,0.007256560994226442,0.021954202479851893,0.014210289669390233,0.0022707990848513286,4.491562524423585,10.085897548663416,1.402342921572428e-12,2.161314033897484,7.177164665107545,2.0843268216519705e-09,2.789985996894343,7.378082856610604,2.76181243794847e-09,3.410214871990166,8.699489335203824,4.148022162621675e-11
15,0.035138267098439535,0.05075622524771737,0.039063081249487985,1.809432864189148,738.0402462166561,394.1852424269883,1.0086613729443705,,0.02103994232613432,0.031011389460140794,0.047832043158271,0.03564251412470407,1.7873659133911133,689.8930002101945,359.93766748409064,1.007617585343278,,0.018077574280219513,0.0383731202020464,0.05890636599464388,0.042552619220788616,1.8576878309249878,772.1417830370079,414.43483813759417,1.010175969743163,,0.023049810320782474,0.03940885646821735,0.02914180078263793,0.0023839149854894643,0.03513352267131719,0.022688413344411806,0.0037285518021578624,0.05295698681264011,0.032156852956856004,0.005690382706894822,0.021231650747552847,0.014367268930514068,0.001817727114727092,4.306804457404506,10.302502118719094,4.637127482507456e-13,3.655313698071901,11.493207196283551,6.928438226997218e-16,3.3377863543971418,8.492872589621449,8.234973919680817e-11,3.776354416140938,9.392731664696175,5.435035233856959e-12
30,0.03791496337578787,0.0520349586719774,0.04044958869438174,2.7420754432678223,702.2112933276233,252.7043538139325,1.0100906835814665,,0.022356985657087235,0.03450655648628691,0.047245219268565425,0.03747733674713395,2.7179896235466003,666.4450911242436,233.17799620082963,1.0087456738009903,,0.020615609196406946,0.04034317455410341,0.0585269333310277,0.04233930153596517,2.768198549747467,726.294856258877,265.1247139170234,1.0113961124594761,,0.024433888911537267,0.040229241740846806,0.028978593958226342,0.00198127084706095,0.03756619888333517,0.022887732875273216,0.003522956348955842,0.052455194402827816,0.03157413008098157,0.003937916816185538,0.02235675055109919,0.014320442851565711,0.001695939988659098,5.678500644830999,15.42682791053195,7.940950810798749e-20,5.302566127354789,12.838106653551376,3.4863945147165146e-16,4.166519409873603,12.648675659620233,2.836758544213888e-17,4.738556643084651,13.790632537034192,1.885767310303895e-18
