dimension,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
2,-0.8359696798943849,0.4100072919531351,-0.15262648368950918
5,-10.60740598827328,1.703306660835061e-11,-1.936638512130885
8,-12.036386085632106,8.417896981474586e-13,-2.197533389980671
12,-24.260263669904266,8.254171454169492e-21,-4.429297887676544
15,-26.099861076571788,1.0843843932347135e-21,-4.765160886463146
30,-31.804535688003188,4.2395849743857844e-24,-5.806687209099144
