mm,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
5,-107.47670283759813,6.3618069588208735e-28,-24.032521354241393
8,-17.257818803032578,4.562986428261586e-13,-3.8589655986954896
10,-17.307224172745013,4.335152399919855e-13,-3.870012975208541
12,-11.047401092291208,1.0336218401932643e-09,-2.470273981706857
15,-9.659544015897723,9.168045072500611e-09,-2.1599397051198617
18,-7.614702891335041,3.461106894589384e-07,-1.7026993293489345
