nu,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2.1,-2.586396735989098,0.021539866052602365,-0.6678047656780665
3.0,-2.408641796978218,0.030362010879324407,-0.6219086377783829
4.0,-2.348040371447838,0.034090512449412344,-0.6062614169893435
10.0,-3.225266683785126,0.006105852067593075,-0.8327602768918276
50.0,-4.448580753729172,0.0005508966845318684,-1.1486186115634613
