dimension,ws_t_stat,ws_p_value,ws_paired_cohens_d
2,-6.932983044254603,1.2783489470391055e-07,-1.2657837347130279
3,-8.284628576958655,3.9198682948019895e-09,-1.5125593173840597
5,-7.84206292518966,1.196764472865568e-08,-1.431758253833775
8,-7.967612199224238,8.697416041082743e-09,-1.4546803103228203
15,-8.206266455047626,4.767640886804474e-09,-1.4982524167758462
30,-7.428137596572632,3.475931863770954e-08,-1.3561861739650132
