correlation,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
0.0,-12.144515637697648,6.770449887850686e-13,-2.2172750549137463
0.3,-12.183511728527296,6.26104563693489e-13,-2.2243947344477193
0.5,-10.614746947261523,1.676129222466828e-11,-1.937978781741412
0.9,-11.280698723337903,4.005443371445816e-12,-2.059564385063966
0.99,-20.388773000482654,9.737275366577605e-19,-3.7224636307388796
