nu,global_avg_wasserstein_distance,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
1,2.8416560521571466,-0.3325980249551391,1.0314001271433615,412.21614089144185,6.404637098312378,,,,,
2,0.2593295007218364,2.54117304729747,1.0152561456586506,673.086235108408,5.797638654708862,,,,,
5,0.1677660318313804,3.242297228992584,1.0162595639013652,470.1518166154587,6.359898567199707,,,,,
10,0.4368980276532266,9.623473885497509,1.0190774175362889,633.8572130025403,6.330017805099487,,,,,
