nu,sampler,wasserstein_distance,swd_zscore,r_hat,ess,runtime
1,DEMetro,2.6624664335233112,-0.3564928599849135,1.0305971383323194,429.57538101042695,6.558429002761841
2,DEMetro,0.4256844715806244,0.6174243475178142,1.0204817165967848,722.4694105049358,6.217209339141846
5,DEMetro,0.18654130104614558,1.3020296330209808,1.0262217605403487,531.7893829791105,8.582121849060059
10,DEMetro,0.31860971680360495,9.852096496151036,1.033539035572115,389.49973500367724,12.547000408172607
