means,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,global_avg,mode_distance
"(3, -3)",0.524978862404214,0.148617836492685,0.287030341005225,0.2176988719788407,0.0538497286968686,0.1038074385470849,0.2226638465208197,6
"(4, -4)",3.0090125498900715,0.8521223636459048,1.189528302733953,1.5873191088473484,1.218789385437827,2.205027699510528,1.676966568344272,8
"(5, -5)",3.561603773974684,3.617615003237871,3.590394203581179,3.634439353526986,3.598435906685878,3.5629061506106963,3.5942323986028826,10
"(6, -6)",4.22842471252518,4.2822289840064425,4.3785071312822925,4.29489581123881,4.33759973455914,4.334762033488484,4.3094030678500586,12
"(7, -7)",5.079122962786166,4.906408671940655,5.054340699940578,4.959538046307646,4.983589473180304,4.955689983062876,4.989781639536371,14
"(8, -8)",5.738486210584352,5.654095051135687,5.772622573705182,5.742970255949953,5.725311643587763,5.755680570868125,5.73152771763851,16
