nu,ws_t_stat,ws_p_value,ws_paired_cohens_d
2.1,-25.488556718741325,1.407105884727659e-05,-11.398829094292918
3.0,-58.51195482129477,5.108902530503073e-07,-26.16734169536233
4.0,-3.5528680249004556,0.02373739281264205,-1.5888908837525668
10.0,-30.608523048278688,6.787310291746193e-06,-13.688547645364045
50.0,-56.625367122929234,5.82377652720131e-07,-25.32363402755029
