nu,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2.1,-6.164909861449709,0.0035144788846407696,-2.7570315050720717
3.0,-7.937211899521898,0.001364157476401277,-3.549629071830239
4.0,-3.3089827515431236,0.029682679233624196,-1.4798220737649441
10.0,-2.939248823881705,0.04242086221643107,-1.3144720345971599
50.0,-3.053025054998121,0.03791593836128814,-1.3653543119971665
