means,sampler,wasserstein_distance,mode_distance
"(8, -8)",HMC,5.738486210584352,16
"(7, -7)",HMC,5.079122962786166,14
"(6, -6)",HMC,4.22842471252518,12
"(5, -5)",HMC,3.561603773974684,10
"(4, -4)",HMC,3.0090125498900715,8
"(3, -3)",HMC,0.524978862404214,6
