correlation,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
0.0,-11.682354645931111,1.3188125093491456e-08,-3.0163709992120027
0.3,-14.797865542170928,6.089354269420953e-10,-3.8207924536163063
0.5,-7.474570538556685,2.99223587079678e-06,-1.9299258143921763
0.9,-11.765378083820737,1.2046478763650373e-08,-3.037807558698096
0.99,-9.917971083633336,1.0343768892323564e-07,-2.560809122338576
