correlation,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
0.0,-27.775584335406847,9.994356309349788e-06,-12.421618937749605
0.3,-32.27725853489944,5.492761158538876e-06,-14.434828842274081
0.5,-58.187649964162645,5.223641157584095e-07,-26.022308154166176
0.9,-71.58996457500818,2.2812766176916643e-07,-32.016005459304026
0.99,-90.79320410138824,8.822399820622273e-08,-40.60395525314336
